Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,r5
20215578,2022:02:25,금,1:29:48 PM,version=0.1,Test,0,3,10,5,0.00799628,178.631,0.007133407,178.631,0.009016831,178.631,0.06382524,2.030376,0.08743379,2.030376
20215578,2022:02:25,금,1:30:17 PM,version=0.1,Test,0,3,10,4,0.009594928,175.4319,0.009798953,175.4319,0.009392172,175.4319,0.04869298,6.066694,,
20215578,2022:02:25,금,1:30:59 PM,version=0.1,Test,0,3,10,5,0.006858853,177.0619,0.006036861,177.0619,0.007956609,177.0619,0.0583587,4.292724,0.08898565,4.292724
20155428,2022:02:25,금,2:00:25 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20155428,2022:02:25,금,2:06:31 PM,version=0.1,Test,0,3,10,5,0.003742107,179.5506,0.003972612,179.5506,0.003666915,179.5506,0.06343899,1.943501,0.08211962,1.943501
20155428,2022:02:25,금,2:06:58 PM,version=0.1,Test,0,3,10,5,0.004062666,179.2702,0.00407184,179.2702,0.004105135,179.2702,0.0640829,2.135059,0.08220834,2.135059
20155428,2022:02:25,금,2:07:24 PM,version=0.1,Test,0,3,10,5,0.001679868,178.2431,0.000710338,178.2431,0.002855426,178.2431,0.07276813,2.299761,0.07771966,2.299761
20155428,2022:02:25,금,2:07:45 PM,version=0.1,Test,0,3,10,5,0.004693946,179.2262,0.004403699,179.2262,0.005037754,179.2262,0.06545497,1.904337,0.07851966,1.904337
20155428,2022:02:25,금,2:08:06 PM,version=0.1,Test,0,3,10,5,0.00354502,180,0.003581074,180,0.003509382,180,0.0656788,1.493969,0.08051283,1.493969
20155428,2022:02:25,금,2:08:25 PM,version=0.1,Test,0,3,10,5,0.002411506,178.1274,0.001372771,178.1274,0.003599451,178.1274,0.0784421,0.9406604,0.07193501,0.9406604
20192017,2022:02:25,금,2:37:38 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20192017,2022:02:25,금,2:42:43 PM,version=0.1,Test,0,3,10,5,0.002234393,177.2253,0.005226837,177.2253,0.001666613,177.2253,0.06066303,3.253475,0.09284817,3.253475
