Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,t5,r6,t6,r7,t7,r8,t8,r9,t9,r10,t10
20182033,2022:02:25,금,11:42:44 AM,version=0.1,Test,0,11,22,10,0.00040273,177.8472,0.000601204,179.1774,0.000133165,177.4073,0.00067692,178.3139,0.000982738,178.7032,0.001072134,177.2734,0.000520232,179.5232,0.001412418,175.6962,0.000924149,175.1719,0.000487011,177.9287
20182033,2022:02:25,금,11:46:03 AM,version=0.1,Test,0,11,22,10,0.000596409,179.0861,0.000864911,177.9429,0.000500633,176.7577,0.000862174,177.9709,0.001063296,176.8703,0.000354547,178.3678,0.000820485,178.3086,0.000627932,179.6655,0.001198447,176.7087,0.000145186,179.6164
20182033,2022:02:25,금,11:49:35 AM,version=0.1,Test,0,11,22,10,0.000907919,178.7297,0.000440968,179.2769,0.000459373,178.9321,0.000180836,179.1846,0.000599982,178.7179,0.000166264,179.972,0.000869174,178.5055,0.000420354,178.6638,0.000600222,178.4814,0.000702348,176.7101
20182033,2022:02:25,금,11:53:33 AM,version=0.1,Test,0,11,22,10,0.000442831,179.3948,0.000355611,177.7487,0.000559545,178.6247,0.000428679,179.5546,0.000830258,178.0768,0.000411863,178.1773,0.000311393,177.6552,0.000377252,177.1129,0.000328677,177.3343,0.000423889,179.002
20182033,2022:02:25,금,11:56:13 AM,version=0.1,Test,0,11,22,10,0.001105854,175.4827,0.001125376,177.6562,0.001001193,177.3002,0.000729897,179.1262,0.000358272,178.26,0.000488187,178.5879,0.000603269,175.1903,0.00067462,175.6833,0.000742382,174.6819,0.000949315,179.4046
20215578,2022:02:25,금,12:28:53 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20215578,2022:02:25,금,1:02:59 PM,version=0.1,Test,0,11,22,10,0.000760617,178.0896,0.003860845,178.2349,0.001122937,176.8756,0.001497228,177.3999,0.000495235,178.6885,0.001522999,178.5628,0.001363461,177.5149,0.00027027,177.5365,0.000774481,179.0717,0.002329574,170.112
20215578,2022:02:25,금,1:04:54 PM,version=0.1,Test,0,11,22,10,0.000852357,179.3633,0.003868134,177.0866,0.000616313,176.7442,0.000735485,178.0124,0.000649776,177.4983,0.001476784,176.1934,0.001177914,179.1812,0.000989589,178.2374,0.000384317,179.6283,0.002954603,174.9237
20215578,2022:02:25,금,1:06:57 PM,version=0.1,Test,0,11,22,10,0.000825213,178.8874,0.003880219,176.9326,0.000668801,178.6273,0.000831388,178.1017,0.000104133,179.0776,0.001455988,177.9057,0.000604604,178.5652,0.001117636,179.1043,0.000912642,178.767,0.001269153,177.9497
20215578,2022:02:25,금,1:09:21 PM,version=0.1,Test,0,11,22,10,0.000678027,177.847,0.004088418,176.2637,0.00155179,177.1124,0.000335979,178.2017,0.000971475,178.4292,0.000422221,177.7607,0.000119375,178.2582,0.000449809,178.1692,0.00041601,179.6823,0.001894892,173.2838
20215578,2022:02:25,금,1:11:41 PM,version=0.1,Test,0,11,22,10,0.000436815,177.4252,0.00375723,174.0316,0.000967723,177.3624,0.000461545,178.8296,0.000740804,177.6135,0.001875733,177.4499,0.000607151,175.994,0.000671531,177.6952,0.000872555,179.4984,0.000594083,174.3622
20215578,2022:02:25,금,1:14:08 PM,version=0.1,Test,0,11,22,10,0.000166389,179.2561,0.002104913,175.0767,0.00047367,177.9934,0.000353773,178.3463,0.000598836,178.4544,0.000491535,178.4679,0.000764622,179.567,0.002303887,178.5357,0.000514195,179.3164,0.003476996,178.0932
20155428,2022:02:25,금,1:34:58 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20155428,2022:02:25,금,1:41:16 PM,version=0.1,Test,0,11,22,10,0.001739616,178.7462,0.001098116,179.9138,0.000318008,178.7259,0.000673531,178.7333,0.001879717,178.4985,0.000288574,179.2384,0.000493254,179.2072,0.000595335,180,0.000538866,178.6691,0.000327587,179.8991
20155428,2022:02:25,금,1:42:46 PM,version=0.1,Test,0,11,22,10,0.000776347,178.7805,0.000492747,178.638,0.000341734,179.6024,0.000293497,177.6564,0.000736313,178.064,0.000623622,179.1314,0.000377301,179.8123,0.000727439,178.777,0.00069597,176.4266,0.001121883,178.9575
20155428,2022:02:25,금,1:44:17 PM,version=0.1,Test,0,11,22,10,0.000646541,178.0007,0.001029112,178.5339,0.000670712,179.6262,0.000714632,177.7351,0.000793687,179.1661,0.000409384,177.1465,0.000389296,178.4811,0.000592125,179.3045,0.000947389,178.7032,0.001317055,179.1082
20155428,2022:02:25,금,1:45:39 PM,version=0.1,Test,0,11,22,10,0.000530862,179.0105,0.000285259,178.5954,0.000664555,178.55,0.000678505,178.3029,0.000795115,176.804,0.000896426,178.1095,0.000710082,179.0823,0.000863901,179.5195,0.000543597,178.7866,0.000124385,179.3817
20155428,2022:02:25,금,1:47:07 PM,version=0.1,Test,0,11,22,10,0.000651132,179.6231,0.000638384,179.2462,0.000742827,179.3599,0.000762979,177.8542,0.000734427,176.7751,0.001004012,177.8563,0.000283851,179.6262,0.000952021,178.5879,0.000457897,177.308,0.001408954,178.1589
20155428,2022:02:25,금,1:48:44 PM,version=0.1,Test,0,11,22,10,0.001121192,178.3093,0.000270474,179.7444,0.00067553,179.6649,0.001533634,177.7495,0.00053816,177.8647,0.000469651,179.2788,0.000461425,179.0763,0.000769555,178.0923,0.000586878,177.9902,0.001761601,179.2574
20192017,2022:02:25,금,2:13:11 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
20192017,2022:02:25,금,2:29:42 PM,version=0.1,Test,0,11,22,10,0.002483184,179.2354,0.004604835,179.8103,0.002115022,179.7259,0.001975035,179.5335,0.001873659,179.3389,0.001763666,179.3651,0.003243836,179.7266,0.001535496,179.7398,0.003031761,179.0228,0.002902578,177.2338
20192017,2022:02:25,금,2:30:57 PM,version=0.1,Test,0,11,22,10,0.002204125,179.2909,0.002443468,178.5455,0.001222791,179.3362,0.000283989,178.5883,0.002665226,179.7302,0.003745757,179.1616,0.000438769,178.9564,0.00134874,178.2392,0.003795905,179.2408,0.00150126,178.865
20192017,2022:02:25,금,2:32:31 PM,version=0.1,Test,0,11,22,10,0.00362412,178.3345,0.001458805,179.1327,0.000416422,178.8081,0.002606079,179.5437,0.003313228,178.4415,0.00355179,179.1133,0.001097106,179.039,0.002420926,177.1762,0.003590495,176.5549,0.00409919,178.2567
20192017,2022:02:25,금,2:34:10 PM,version=0.1,Test,0,11,22,10,0.001873368,178.2262,0.003367615,179.5007,0.000798346,178.886,0.000969699,179.9161,0.00068693,179.2249,0.000854303,179.9515,0.004675936,178.6438,0.00032162,177.691,0.004303334,178.7351,0.003570448,177.6408
20192017,2022:02:25,금,2:35:25 PM,version=0.1,Test,0,7,14,6,0.001126164,178.8066,0.001584957,177.8692,0.003596144,179.4718,0.000269666,178.6969,0.00244958,179.3051,0.000707165,179.363,,,,,,,,
20192017,2022:02:25,금,2:37:36 PM,version=0.1,Test,0,11,22,10,0.003180692,178.0934,0.000134482,179.6154,0.000308502,177.6763,0.004542912,179.0132,0.004912932,178.9007,0.003485199,179.101,0.000381782,179.2821,0.002885893,179.2659,0.002087142,176.7216,0.002550723,179.3964
20192001,2022:02:25,금,2:57:26 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,,,,,
