Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,t5,r6,t6,r7,t7,r8,t8
20215578,2022:02:24,목,12:20:42 PM,version=0.1,Test,0,3,16,8,0.003293928,178.0311,0.00306892,178.0311,0.003532498,178.0311,0.00597538,179.0564,0.007589727,179.0564,0.004652782,179.0564,0.09107402,2.076034,0.06661563,2.076034
20215578,2022:02:24,목,12:21:47 PM,version=0.1,Test,0,3,16,8,0.005480854,179.8972,0.00677854,179.8972,0.004267658,179.8972,0.005676722,177.776,0.005436604,177.776,0.005953658,177.776,0.06837533,2.141831,0.08990494,2.141831
20215578,2022:02:24,목,12:23:23 PM,version=0.1,Test,0,3,16,8,0.003564312,179.4902,0.003556192,179.4902,0.0035725,179.4902,0.003824873,178.996,0.004501308,178.996,0.003239074,178.996,0.06969421,1.15012,0.08053292,1.15012
20192017,2022:02:24,목,12:53:46 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20192017,2022:02:24,목,12:54:49 PM,version=0.1,Test,0,3,16,8,0.004004432,177.3679,0.004991657,177.3679,0.003590497,177.3679,0.004967706,177.0511,0.005471146,177.0511,0.005028838,177.0511,0.08379884,2.150404,0.06699727,2.150404
20192017,2022:02:24,목,12:55:29 PM,version=0.1,Test,0,3,16,8,0.00607471,175.4286,0.005445803,175.4286,0.007835966,175.4286,0.005192118,176.7609,0.004671082,176.7609,0.005869274,176.7609,0.07309597,2.68358,0.08006684,2.68358
20192017,2022:02:24,목,12:56:17 PM,version=0.1,Test,0,3,16,8,0.002489202,178.3216,0.003337109,178.3216,0.002397964,178.3216,0.004114964,175.8491,0.004134938,175.8491,0.00413058,175.8491,0.06943043,2.733947,0.08691321,2.733947
20192017,2022:02:24,목,12:56:54 PM,version=0.1,Test,0,3,16,8,0.003432609,178.1917,0.003606537,178.1917,0.004986882,178.1917,0.004752108,177.1952,0.004952016,177.1952,0.005332698,177.1952,0.06088722,2.151314,0.08527411,2.151314
20192017,2022:02:24,목,12:57:55 PM,version=0.1,Test,0,3,16,8,0.003385494,175.9804,0.003102407,175.9804,0.004359863,175.9804,0.004051182,173.4793,0.004666608,173.4793,0.005731481,173.4793,0.07438421,2.5994,0.08159126,2.5994
20192001,2022:02:24,목,2:19:35 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20192001,2022:02:24,목,2:20:38 PM,version=0.1,Test,0,3,16,8,0.004526279,176.8411,0.006152965,176.8411,0.003119554,176.8411,0.002528201,178.4439,0.003553534,178.4439,0.001545672,178.4439,0.06982648,1.603765,0.08271904,1.603765
20192001,2022:02:24,목,2:21:44 PM,version=0.1,Test,0,3,16,8,0.002552648,178.4517,0.002969012,178.4517,0.002192226,178.4517,0.001857257,179.0432,0.000957864,179.0432,0.003747414,179.0432,0.07568169,1.276409,0.0828747,1.276409
20192001,2022:02:24,목,2:22:51 PM,version=0.1,Test,0,3,16,8,0.003844478,178.3747,0.004982211,178.3747,0.00283128,178.3747,0.001644517,179.6749,0.001482292,179.6749,0.00180936,179.6749,0.07415741,1.898883,0.08156011,1.898883
20192001,2022:02:24,목,2:23:47 PM,version=0.1,Test,0,3,16,8,0.001146967,178.5718,0.001539026,178.5718,0.001196487,178.5718,0.004718016,176.2623,0.009090321,176.2623,0.000709035,176.2623,0.08521046,5.161828,0.0723367,5.161828
20192001,2022:02:24,목,2:25:11 PM,version=0.1,Test,0,3,16,8,0.003220174,178.6559,0.003392069,178.6559,0.003094547,178.6559,0.004610792,177.4418,0.006574217,177.4418,0.003467318,177.4418,0.08190964,1.719194,0.07293016,1.719194
20182033,2022:02:25,금,11:56:14 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20182033,2022:02:25,금,12:11:11 PM,version=0.1,Test,0,3,16,8,0.002497572,176.6064,0.004031452,176.6064,0.003736769,176.6064,0.009958131,176.1727,0.0109364,176.1727,0.009974108,176.1727,0.08761603,2.064122,0.06554628,2.064122
20182033,2022:02:25,금,12:13:27 PM,version=0.1,Test,0,3,16,8,0.00259801,177.4787,0.002537235,177.4787,0.00280485,177.4787,0.007203848,176.6753,0.007664637,176.6753,0.006932123,176.6753,0.0744596,1.163148,0.07305856,1.163148
20182033,2022:02:25,금,12:15:36 PM,version=0.1,Test,0,3,16,8,0.004217006,176.7486,0.006339718,176.7486,0.002837765,176.7486,0.004655601,176.593,0.007007611,176.593,0.002487332,176.593,0.05741131,3.521867,0.09115712,3.521867
20182033,2022:02:25,금,12:17:55 PM,version=0.1,Test,0,3,16,8,0.003745883,177.8928,0.004600755,177.8928,0.003966626,177.8928,0.008243025,178.7882,0.008898461,178.7882,0.007650319,178.7882,0.06100611,2.272106,0.08319359,2.272106
20182033,2022:02:25,금,12:19:47 PM,version=0.1,Test,0,3,16,8,0.000579365,178.3979,0.000729192,178.3979,0.000743374,178.3979,0.002340696,176.9469,0.002294961,176.9469,0.002422094,176.9469,0.06685816,1.678064,0.0854751,1.678064
20182033,2022:02:25,금,12:22:30 PM,version=0.1,Test,0,3,16,8,0.003117617,179.2632,0.003243428,179.2632,0.003038449,179.2632,0.002993339,178.3203,0.003007609,178.3203,0.003051992,178.3203,0.06625918,2.290038,0.09059059,2.290038
20215578,2022:02:25,금,1:14:09 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20215578,2022:02:25,금,1:20:18 PM,version=0.1,Test,0,3,16,8,0.001859989,176.1553,0.002302326,176.1553,0.001870167,176.1553,0.007667913,177.1841,0.007937273,177.1841,0.007416003,177.1841,0.07588386,1.066429,0.06485911,1.066429
20215578,2022:02:25,금,1:21:12 PM,version=0.1,Test,0,3,16,8,0.004670208,177.7546,0.004538226,177.7546,0.005278627,177.7546,0.006204398,176.2969,0.006498455,176.2969,0.005929675,176.2969,0.05401837,3.282351,0.09174437,3.282351
20215578,2022:02:25,금,1:22:09 PM,version=0.1,Test,0,3,16,8,0.005547303,176.7325,0.004278945,176.7325,0.006839243,176.7325,0.004972155,175.6956,0.007409045,175.6956,0.003101509,175.6956,0.05981504,3.789616,0.09026598,3.789616
20215578,2022:02:25,금,1:23:44 PM,version=0.1,Test,0,3,16,7,0.003068669,175.2119,0.004835849,175.2119,0.001600348,175.2119,0.005446256,176.4662,0.005948423,176.4662,0.005275585,176.4662,0.05326753,8.294815,,
20215578,2022:02:25,금,1:24:47 PM,version=0.1,Test,0,3,16,8,0.003006713,179.429,0.003044143,179.429,0.003335925,179.429,0.003092198,178.3567,0.004050373,178.3567,0.002691963,178.3567,0.06795906,1.763252,0.08423018,1.763252
20215578,2022:02:25,금,1:25:47 PM,version=0.1,Test,0,3,16,8,0.005538078,177.5643,0.005747892,177.5643,0.005387235,177.5643,0.003499152,178.9969,0.002157785,178.9969,0.005096981,178.9969,0.06255611,3.40289,0.09596871,3.40289
20155428,2022:02:25,금,2:00:25 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20155428,2022:02:25,금,2:01:36 PM,version=0.1,Test,0,3,16,8,0.004099612,175.3208,0.006355532,175.3208,0.004169585,175.3208,0.00431565,178.8142,0.004751533,178.8142,0.004656839,178.8142,0.06688958,5.71004,0.0889514,5.71004
20155428,2022:02:25,금,2:02:32 PM,version=0.1,Test,0,3,16,8,0.003976226,176.2915,0.003155984,176.2915,0.004863956,176.2915,0.002090002,178.2677,0.002582794,178.2677,0.002492069,178.2677,0.06919713,2.001152,0.09005852,2.001152
20155428,2022:02:25,금,2:03:36 PM,version=0.1,Test,0,3,16,8,0.002268405,179.6731,0.002591483,179.6731,0.002472428,179.6731,0.002678272,178.4176,0.002994996,178.4176,0.002437144,178.4176,0.07038117,1.849068,0.08652841,1.849068
20155428,2022:02:25,금,2:04:24 PM,version=0.1,Test,0,3,16,8,0.00252435,179.3442,0.003285052,179.3442,0.002102168,179.3442,0.003402785,178.7698,0.003834651,178.7698,0.003064939,178.7698,0.0708341,0.6158028,0.07694361,0.6158028
20155428,2022:02:25,금,2:05:04 PM,version=0.1,Test,0,3,16,8,0.001986701,179.2292,0.001931897,179.2292,0.002219344,179.2292,0.002150058,178.7584,0.002732011,178.7584,0.001819873,178.7584,0.07609174,0.4731261,0.07573699,0.4731261
20155428,2022:02:25,금,2:05:50 PM,version=0.1,Test,0,3,16,8,0.002995748,178.2432,0.003289932,178.2432,0.002771904,178.2432,0.004391544,178.4188,0.00415674,178.4188,0.004649775,178.4188,0.07726222,0.454995,0.07499385,0.454995
20192017,2022:02:25,금,2:37:38 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20192017,2022:02:25,금,2:38:24 PM,version=0.1,Test,0,3,16,8,0.003250353,176.1265,0.004408365,176.1265,0.0043054,176.1265,0.003660063,177.9872,0.005029488,177.9872,0.002939664,177.9872,0.06637827,2.527084,0.08483686,2.527084
20192017,2022:02:25,금,2:39:08 PM,version=0.1,Test,0,3,16,8,0.002598931,177.6447,0.004044013,177.6447,0.002155916,177.6447,0.001935928,178.635,0.001902252,178.635,0.002244167,178.635,0.07368093,2.567579,0.08188112,2.567579
20192017,2022:02:25,금,2:39:44 PM,version=0.1,Test,0,3,16,8,0.002327936,178.2827,0.001346601,178.2827,0.003564136,178.2827,0.006139147,179.3466,0.006102219,179.3466,0.00620676,179.3466,0.07415219,1.066061,0.07977176,1.066061
20192017,2022:02:25,금,2:40:24 PM,version=0.1,Test,0,3,16,8,0.004032003,178.73,0.003602322,178.73,0.006111889,178.73,0.001564834,177.3183,0.004158245,177.3183,0.001619338,177.3183,0.06263765,3.066182,0.09192909,3.066182
20192017,2022:02:25,금,2:41:14 PM,version=0.1,Test,0,3,16,8,0.002820264,179.2609,0.003806195,179.2609,0.002563565,179.2609,0.003091638,177.4798,0.002747579,177.4798,0.003740109,177.4798,0.06935132,2.751077,0.08499421,2.751077
20192017,2022:02:25,금,2:42:11 PM,version=0.1,Test,0,3,16,8,0.00503691,178.2983,0.005609869,178.2983,0.004737823,178.2983,0.002714344,174.7807,0.002028074,174.7807,0.004621343,174.7807,0.07010088,6.269948,0.08720725,6.269948
20192001,2022:02:25,금,3:28:57 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20192001,2022:02:25,금,3:30:24 PM,version=0.1,Test,0,3,16,8,0.003806328,179.5429,0.006185515,179.5429,0.001694709,179.5429,0.005419113,177.0751,0.008099453,177.0751,0.002741663,177.0751,0.05772898,2.948691,0.08851071,2.948691
20192001,2022:02:25,금,3:31:32 PM,version=0.1,Test,0,3,16,8,0.002090377,179.2506,0.000461438,179.2506,0.004169602,179.2506,0.003267856,176.232,0.001698346,176.232,0.007022066,176.232,0.07659139,3.616172,0.07423946,3.616172
20192001,2022:02:25,금,3:32:56 PM,version=0.1,Test,0,3,16,8,0.002678785,175.7911,0.004472777,175.7911,0.000990743,175.7911,0.005360839,177.5263,0.004858078,177.5263,0.00635362,177.5263,0.06460126,4.005066,0.0867402,4.005066
20192001,2022:02:25,금,3:34:09 PM,version=0.1,Test,0,3,16,8,0.002058257,178.0893,0.002918611,178.0893,0.001770667,178.0893,0.000644756,176.7811,0.002586985,176.7811,0.001551964,176.7811,0.06817029,4.190402,0.09158918,4.190402
20192001,2022:02:25,금,3:35:06 PM,version=0.1,Test,0,3,16,7,0.001363772,177.6124,0.000939894,177.6124,0.0019816,177.6124,0.001400226,176.5856,0.001101086,176.5856,0.001821457,176.5856,0.04913927,5.444026,,
20192001,2022:02:25,금,3:36:03 PM,version=0.1,Test,0,3,16,8,0.005237676,179.5281,0.005252887,179.5281,0.005224986,179.5281,0.00373168,178.3355,0.004083963,178.3355,0.003408654,178.3355,0.08570555,2.128173,0.06780098,2.128173
787,2022:03:07,월,9:56:55 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
787,2022:03:07,월,9:57:28 AM,version=0.1,Test,0,3,16,8,0.002610261,176.6678,0.002670917,176.6678,0.002762666,176.6678,0.005240885,176.7705,0.005428104,176.7705,0.005148863,176.7705,0.07116377,0.6661724,0.07438612,0.6661724
787,2022:03:07,월,9:57:34 AM,version=0.1,Test,0,1,6,0,,,,,,,,,,,,,,,,
20192014,2022:03:07,월,10:35:41 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20192014,2022:03:07,월,10:39:16 AM,version=0.1,Test,0,3,16,7,0.006735845,179.0911,0.005148587,179.0911,0.00864151,179.0911,0.01154809,177.4171,0.008495037,177.4171,0.08754078,3.471247,0.07343453,3.471247,,
20192014,2022:03:07,월,10:41:21 AM,version=0.1,Test,0,3,16,8,0.003258086,176.2767,0.004938249,176.2767,0.003129374,176.2767,0.006875093,178.8157,0.00654878,178.8157,0.007305434,178.8157,0.06767599,2.87712,0.08138515,2.87712
20192014,2022:03:07,월,10:43:41 AM,version=0.1,Test,0,3,16,7,0.005838496,179.4401,0.004319626,179.4401,0.007398108,179.4401,0.01129164,177.7994,0.004885253,177.7994,0.09041768,2.720885,0.08807852,2.720885,,
20202023,2022:03:07,월,11:26:32 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20202023,2022:03:07,월,11:32:24 AM,version=0.1,Test,0,3,16,8,0.00488562,178.7641,0.00596039,178.7641,0.004120574,178.7641,0.005516895,179.118,0.006470361,179.118,0.004910519,179.118,0.07041815,2.023134,0.08166412,2.023134
